timestamp,heel_fsr,toe_fsr,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1323,0,0,0.81,9.26,-1.96,0.02,-0.12,-0.01
1376,0,0,0.76,9.33,-1.94,0.02,-0.12,-0.01
1429,0,0,0.78,9.33,-1.99,0.02,-0.12,-0.01
1482,0,0,0.77,9.32,-2.00,0.02,-0.12,-0.01
1535,0,0,0.76,9.32,-1.99,0.02,-0.12,-0.01
1588,0,0,0.77,9.33,-2.01,0.02,-0.12,-0.01
1641,0,0,0.74,9.35,-1.95,0.02,-0.12,-0.01
1694,0,0,0.77,9.34,-2.02,0.02,-0.12,-0.01
1747,0,0,0.75,9.33,-2.00,0.02,-0.12,-0.01
1800,0,0,0.76,9.34,-1.99,0.02,-0.12,-0.01
1853,0,0,0.75,9.33,-1.97,0.02,-0.12,-0.01
1906,0,0,0.76,9.34,-1.95,0.02,-0.12,-0.01
1959,0,0,0.77,9.33,-1.99,0.02,-0.12,-0.01
2012,0,0,0.76,9.33,-1.97,0.02,-0.12,-0.01
2065,0,0,0.76,9.34,-1.98,0.02,-0.12,-0.01
2118,0,0,0.76,9.32,-1.97,0.02,-0.12,-0.01
2171,0,0,0.78,9.33,-1.95,0.02,-0.12,-0.01
2224,0,0,0.77,9.33,-1.95,0.02,-0.12,-0.01
2277,0,0,0.78,9.32,-1.96,0.02,-0.12,-0.01
2330,0,0,0.75,9.35,-1.97,0.02,-0.12,-0.01
2383,0,0,0.77,9.34,-1.97,0.02,-0.12,-0.01
2436,0,0,0.76,9.33,-1.95,0.02,-0.12,-0.01
2489,0,0,0.75,9.35,-1.95,0.02,-0.12,-0.01
2542,0,0,0.77,9.33,-1.97,0.02,-0.12,-0.01
2595,0,0,0.75,9.33,-1.99,0.02,-0.12,-0.01
2648,0,0,0.76,9.32,-1.97,0.02,-0.12,-0.01
2701,0,0,0.76,9.31,-1.99,0.02,-0.13,-0.01
2754,0,0,0.79,9.33,-1.99,0.02,-0.12,-0.01
2807,0,0,0.74,9.32,-1.96,0.02,-0.12,-0.01
2860,0,0,0.77,9.34,-1.96,0.02,-0.12,-0.01
2913,0,0,0.77,9.33,-1.94,0.02,-0.12,-0.01
2966,0,0,0.76,9.31,-1.99,0.02,-0.12,-0.01
3019,0,0,0.74,9.31,-1.98,0.02,-0.12,-0.01
3072,0,0,0.75,9.33,-2.00,0.02,-0.12,-0.01
3125,0,0,0.76,9.33,-1.97,0.02,-0.12,-0.01
3178,0,0,0.76,9.32,-1.96,0.02,-0.12,-0.01
3231,0,0,0.74,9.33,-1.97,0.02,-0.12,-0.01
3284,0,0,0.76,9.33,-1.95,0.02,-0.12,-0.01
3337,0,0,0.77,9.34,-1.98,0.02,-0.12,-0.01
3390,0,0,0.75,9.32,-1.97,0.02,-0.12,-0.01
3443,0,0,0.75,9.33,-1.96,0.02,-0.12,-0.01
3496,0,0,0.75,9.34,-1.95,0.02,-0.12,-0.01
3549,0,0,0.75,9.33,-1.97,0.02,-0.12,-0.01
3602,0,0,0.77,9.32,-1.99,0.02,-0.12,-0.01
3655,0,0,0.76,9.33,-1.99,0.02,-0.12,-0.01
3708,0,0,0.77,9.32,-1.96,0.02,-0.12,-0.01
3761,0,0,0.78,9.35,-1.95,0.02,-0.12,-0.01
3814,0,0,0.74,9.34,-1.98,0.02,-0.12,-0.01
3867,0,0,0.76,9.30,-1.98,0.02,-0.12,-0.01
3920,0,0,0.77,9.33,-1.98,0.02,-0.12,-0.01
3973,0,0,0.75,9.33,-1.95,0.02,-0.12,-0.01
4026,0,0,0.77,9.34,-1.94,0.02,-0.12,-0.01
4079,0,0,0.75,9.33,-1.96,0.02,-0.12,-0.01
4132,0,0,0.75,9.33,-1.98,0.02,-0.12,-0.01
4185,0,0,0.75,9.34,-1.98,0.02,-0.12,-0.01
4238,0,0,0.76,9.33,-1.96,0.02,-0.12,-0.01
4291,0,0,0.77,9.34,-1.95,0.02,-0.12,-0.01
4344,0,0,0.76,9.32,-1.99,0.02,-0.12,-0.01
4397,0,0,0.77,9.34,-1.99,0.02,-0.12,-0.01
4450,0,0,0.77,9.34,-1.97,0.02,-0.12,-0.01
4503,0,0,0.75,9.34,-1.97,0.02,-0.12,-0.01
4556,0,0,0.76,9.33,-1.99,0.02,-0.12,-0.01
4609,0,0,0.76,9.32,-1.98,0.02,-0.12,-0.01
4662,0,0,0.77,9.31,-1.96,0.02,-0.12,-0.01
4715,0,0,0.76,9.33,-1.99,0.02,-0.12,-0.01
4768,0,0,0.78,9.33,-1.99,0.02,-0.12,-0.01
4821,0,0,0.75,9.33,-2.02,0.02,-0.12,-0.01
4874,0,0,0.76,9.32,-1.97,0.02,-0.12,-0.01
4927,0,0,0.76,9.34,-1.98,0.02,-0.12,-0.01
4980,0,0,0.75,9.32,-1.97,0.02,-0.12,-0.01
5033,0,0,0.75,9.32,-1.96,0.02,-0.12,-0.01
5086,0,0,0.75,9.34,-1.97,0.02,-0.12,-0.01
5139,0,0,0.74,9.34,-1.95,0.02,-0.12,-0.01
5192,0,0,0.77,9.34,-1.99,0.02,-0.12,-0.01
5245,0,0,0.76,9.33,-1.98,0.02,-0.12,-0.01
5298,0,0,0.75,9.32,-1.96,0.02,-0.13,-0.01
5351,0,0,0.77,9.34,-1.96,0.02,-0.12,-0.01
5404,0,0,0.78,9.33,-1.99,0.02,-0.12,-0.01
5457,0,0,0.77,9.32,-1.97,0.02,-0.12,-0.01
5510,0,0,0.74,9.32,-1.97,0.02,-0.12,-0.01
5563,0,0,0.76,9.32,-1.99,0.02,-0.13,-0.01
5616,0,0,0.74,9.32,-1.99,0.02,-0.12,-0.01
5669,0,0,0.77,9.33,-1.97,0.02,-0.13,-0.01
5722,0,0,0.75,9.33,-1.98,0.02,-0.12,-0.01
5775,0,0,0.76,9.30,-1.95,0.02,-0.12,-0.01
5828,0,0,0.76,9.34,-1.97,0.02,-0.13,-0.01
5881,0,0,0.74,9.33,-1.97,0.02,-0.12,-0.01
5934,0,0,0.74,9.33,-2.00,0.02,-0.12,-0.01
5987,0,0,0.75,9.33,-1.98,0.02,-0.12,-0.01
6040,0,0,0.74,9.34,-1.96,0.02,-0.12,-0.01
6093,0,0,0.76,9.33,-1.97,0.02,-0.12,-0.01
6146,0,0,0.76,9.32,-2.00,0.02,-0.12,-0.01
6199,0,0,0.75,9.33,-1.98,0.02,-0.12,-0.01
6252,0,0,0.75,9.33,-2.00,0.02,-0.12,-0.01
6305,0,0,0.76,9.33,-1.96,0.02,-0.12,-0.01
6358,0,0,0.76,9.32,-1.99,0.02,-0.12,-0.01
6411,0,0,0.77,9.33,-1.96,0.02,-0.12,-0.01
6464,0,0,0.75,9.33,-1.93,0.02,-0.12,-0.01
6517,0,0,0.76,9.32,-1.99,0.02,-0.12,-0.01
6570,0,0,0.75,9.31,-1.97,0.02,-0.12,-0.01
6623,0,0,0.78,9.34,-1.97,0.02,-0.12,-0.01
6676,0,0,0.75,9.32,-1.97,0.02,-0.12,-0.01
6729,0,0,0.74,9.33,-1.98,0.02,-0.12,-0.01
6782,0,0,0.75,9.34,-1.98,0.02,-0.12,-0.01
6835,0,0,0.74,9.31,-2.00,0.02,-0.12,-0.01
6888,0,0,0.77,9.33,-1.98,0.02,-0.12,-0.01
6941,0,0,0.74,9.33,-1.98,0.02,-0.12,-0.01
6994,0,0,0.76,9.34,-1.99,0.02,-0.13,-0.01
7047,0,0,0.76,9.34,-2.00,0.02,-0.13,-0.01
7100,0,0,0.74,9.33,-1.96,0.02,-0.12,-0.01
7153,0,0,0.76,9.33,-1.97,0.02,-0.12,-0.01
7206,0,0,0.77,9.33,-1.98,0.02,-0.12,-0.01
7259,0,0,0.77,9.32,-1.96,0.02,-0.13,-0.01
